asset_type,asset_category,energy_vector,mvs_type,asset_fields,unit,ports
dso,energy_provider,Electricity,source,"[name,energy_price,feedin_tariff,peak_demand_pricing,peak_demand_pricing_period,renewable_share,feedin_cap]",,"{'output_1': ['bus_electricity','Electricity']}"
gas_dso,energy_provider,Gas,source,"[name,energy_price,feedin_tariff,peak_demand_pricing,peak_demand_pricing_period,renewable_share,feedin_cap]",,"{'output_1': ['bus_fuel','Gas']}"
h2_dso,energy_provider,H2,source,"[name,energy_price,feedin_tariff,peak_demand_pricing,peak_demand_pricing_period,renewable_share,feedin_cap]",,"{'output_1': ['bus_h2','H2']}"
heat_dso,energy_provider,Heat,source,"[name,energy_price,feedin_tariff,peak_demand_pricing,peak_demand_pricing_period,renewable_share,feedin_cap]",,"{'output_1': ['bus_heat','Heat']}"
demand,energy_consumption,Electricity,sink,"[name,input_timeseries]",kWh,"{'input_1':['bus_in_electricity','Electricity']}"
gas_demand,energy_consumption,Gas,sink,"[name,input_timeseries]",,"{'input_1':['bus_in_fuel','Gas']}"
h2_demand,energy_consumption,H2,sink,"[name,input_timeseries]",,"{'input_1':['bus_in_h2','H2']}"
heat_demand,energy_consumption,Heat,sink,"[name,input_timeseries]",,"{'input_1':['bus_in_heat','Heat']}"
transformer_station_in,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
transformer_station_out,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
storage_charge_controller_in,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
storage_charge_controller_out,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
solar_inverter,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
diesel_generator,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency]",kVA,"{'input_1':['bus_in_fuel','Gas'],'output_1': ['bus_out_electricity','Electricity']}"
fuel_cell,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,efficiency]",kVA,"{'input_1':['bus_in_h2','H2'],'output_1': ['bus_out_electricity','Electricity']}"
gas_boiler,energy_conversion,Gas,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency]",kW,"{'input_1':['bus_in_fuel','Gas'],'output_1': ['bus_out_heat','Heat']}"
electrolyzer,energy_conversion,H2,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency,efficiency_multiple]",kVA,"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_heat','Heat'], 'output_2': ['bus_out_h2','H2']}"
heat_pump,energy_conversion,Heat,transformer,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_var,opex_fix,lifetime,optimize_cap,maximum_capacity,efficiency]",kVA,"{'input_1':['bus_in_electricity','Electricity'], 'input_2': ['bus_in_heat','Heat'],'output_1': ['bus_out_heat','Heat']}"
pv_plant,energy_production,Electricity,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",kWp,"{'output_1': ['bus_out_electricity','Electricity']}"
wind_plant,energy_production,Electricity,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",kW,"{'output_1': ['bus_out_electricity','Electricity']}"
biogas_plant,energy_production,Gas,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",,"{'output_1': ['bus_out_fuel','Gas']}"
geothermal_conversion,energy_production,Electricity,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",kWh,"{'output_1': ['bus_out_heat','Heat']}"
solar_thermal_plant,energy_production,Heat,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",mÂ³,"{'output_1': ['bus_out_heat','Heat']}"
charging_power,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,crate,efficiency,dispatchable]",kW,"{'input_1':['charge','Electricity'],'output_1': ['discharge','Electricity']}"
discharging_power,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,crate,efficiency,dispatchable]",kW,"{'input_1':['charge','Electricity'],'output_1': ['discharge','Electricity']}"
capacity,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency,soc_max,soc_min,crate,dispatchable,thermal_loss_rate,fixed_thermal_losses_relative,fixed_thermal_losses_absolute]",kWh,"{'input_1':['charge','Electricity'],'output_1': ['discharge','Electricity']}"
bess,energy_storage,Electricity,storage,[name],kW (el),"{'input_1':['bus_in_electricity','Electricity'],'output_1': ['bus_out_electricity','Electricity']}"
gess,energy_storage,Gas,storage,[name],l,"{'input_1':['bus_in_fuel','Gas'],'output_1': ['bus_out_fuel','Gas']}"
h2ess,energy_storage,H2,storage,[name],kgH2,"{'input_1':['bus_in_h2','H2'],'output_1': ['bus_out_h2','H2']}"
hess,energy_storage,Heat,storage,[name],kW (therm),"{'input_1':['bus_in_heat','Heat'],'output_1': ['bus_out_heat','Heat']}"
chp,energy_conversion,Electricity,extractionTurbineCHP,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_var,opex_fix,lifetime,optimize_cap,maximum_capacity,efficiency_multiple,efficiency,thermal_loss_rate]",kW,"{'input_1':['bus_in_fuel','Gas'],'output_1': ['bus_out_heat','Heat'], 'output_2': ['bus_out_electricity','Electricity']}"
chp_fixed_ratio,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_var,opex_fix,lifetime,optimize_cap,maximum_capacity,efficiency_multiple,efficiency]",kW,"{'input_1':['bus_in_fuel','Gas'],'output_1': ['bus_out_heat','Heat'], 'output_2': ['bus_out_electricity','Electricity']}"
